student_id,academic_year,year_level,faculty,study_mode,entry_pathway,gender,residency_status,age,family_income_band,parental_education,scholarship_type,employment_status,attendance_pct,weekly_study_hrs,prior_gpa,internet_access,support_services_used,mental_health_support,units_enrolled,units_completed,at_risk_flag,composite_score,final_outcome,final_gpa
STU-00062,2023,1,Education,Full-time,Mature Age Entry,Male,Domestic,22,Lower-Mid ($40–70k),Postgraduate,Equity / Need-Based,Full-time (>20 hrs),64.1,9.3,1.71,Yes,Peer Tutoring,No,4,3,Yes,40.3,Fail,0.97
STU-00063,2023,1,Education,Full-time,International Pathway,Male,Domestic,20,Upper-Mid ($110–160k),TAFE / Certificate,Merit-Based,Part-time (≤20 hrs),66.6,15.7,2.45,Yes,Peer Tutoring,No,4,4,No,60.03,Pass,2.19
STU-00064,2024,3,Business,Full-time,High School (ATAR),Female,International,24,Upper-Mid ($110–160k),Postgraduate,None,Part-time (≤20 hrs),78.2,15.1,3.16,Yes,Peer Tutoring,No,4,4,No,59.55,Pass,2.56
STU-00065,2022,2,Arts & Humanities,Full-time,High School (ATAR),Male,Domestic,26,Mid ($70–110k),Bachelor,External,Not Employed,82.7,20.6,2.5,Yes,None,No,4,4,No,68.64,Pass,2.47
STU-00066,2022,3,Health Sciences,Part-time,High School (ATAR),Male,Domestic,24,Low (<$40k),No Tertiary,External,Not Employed,84.8,21.5,2.87,Yes,Peer Tutoring,No,2,2,No,70.09,Pass,2.58
STU-00067,2024,4,Health Sciences,Full-time,High School (ATAR),Female,Domestic,24,Upper-Mid ($110–160k),TAFE / Certificate,Equity / Need-Based,Part-time (≤20 hrs),69.0,23.3,2.82,Yes,Peer Tutoring,No,4,4,No,59.42,Pass,2.52
STU-00068,2022,3,Engineering,Full-time,Mature Age Entry,Male,Domestic,22,Lower-Mid ($40–70k),Postgraduate,Merit-Based,Not Employed,96.7,18.9,4.0,Yes,Multiple Services,Yes,4,4,No,75.69,Distinction,3.44
STU-00069,2024,2,Arts & Humanities,Full-time,High School (ATAR),Male,Domestic,22,Lower-Mid ($40–70k),Bachelor,Merit-Based,Part-time (≤20 hrs),59.0,11.7,3.62,Yes,None,No,4,2,Yes,43.07,Fail,1.8
STU-00070,2024,4,Health Sciences,Part-time,Transfer / Credit,Male,Domestic,25,Mid ($70–110k),Bachelor,None,Not Employed,69.4,18.8,2.27,Yes,None,No,2,2,No,68.37,Pass,2.16
STU-00071,2024,2,Education,Part-time,High School (ATAR),Male,International,23,Low (<$40k),TAFE / Certificate,None,Part-time (≤20 hrs),85.1,14.6,2.82,No,None,No,2,0,No,41.76,Fail,1.68
STU-00072,2023,4,Business,Part-time,Transfer / Credit,Female,Domestic,26,Mid ($70–110k),Postgraduate,Equity / Need-Based,Part-time (≤20 hrs),55.2,16.8,3.43,Yes,None,No,2,0,Yes,51.04,Fail,1.4
STU-00073,2022,2,Arts & Humanities,Full-time,Transfer / Credit,Female,Domestic,26,Lower-Mid ($40–70k),TAFE / Certificate,Merit-Based,Part-time (≤20 hrs),67.0,13.0,3.7,Yes,Peer Tutoring,No,4,1,No,50.57,Fail,0.79
STU-00074,2022,2,Business,Full-time,High School (ATAR),Female,Domestic,26,High (>$160k),TAFE / Certificate,External,Not Employed,64.3,18.6,2.91,Yes,Peer Tutoring,No,4,4,No,72.09,Pass,2.16
STU-00075,2024,4,Engineering,Full-time,High School (ATAR),Female,International,24,Lower-Mid ($40–70k),No Tertiary,None,Not Employed,53.4,21.0,3.2,Yes,Multiple Services,Yes,4,4,Yes,61.36,Pass,2.4
STU-00076,2022,3,Business,Full-time,High School (ATAR),Female,International,24,Mid ($70–110k),Postgraduate,None,Part-time (≤20 hrs),65.6,11.5,4.0,Yes,None,No,4,4,No,65.44,Pass,2.22
STU-00077,2023,3,Information Technology,Full-time,High School (ATAR),Male,Domestic,25,High (>$160k),Bachelor,Merit-Based,Part-time (≤20 hrs),75.8,18.7,4.0,Yes,None,No,4,4,No,67.59,Pass,2.12
STU-00078,2024,2,Business,Full-time,Mature Age Entry,Female,Domestic,21,Low (<$40k),No Tertiary,Equity / Need-Based,Part-time (≤20 hrs),72.4,22.0,1.78,No,None,No,4,1,No,42.05,Fail,1.17
STU-00079,2022,4,Information Technology,Full-time,High School (ATAR),Male,Domestic,25,Low (<$40k),No Tertiary,None,Part-time (≤20 hrs),55.1,22.4,3.12,Yes,Counselling,Yes,4,4,Yes,60.1,Pass,2.16
STU-00080,2024,1,Arts & Humanities,Full-time,High School (ATAR),Male,Domestic,23,High (>$160k),TAFE / Certificate,None,Not Employed,70.4,9.5,2.8,Yes,Multiple Services,Yes,4,4,No,58.19,Pass,2.36
STU-00081,2022,1,Arts & Humanities,Part-time,Transfer / Credit,Female,Domestic,20,Mid ($70–110k),Bachelor,Merit-Based,Not Employed,77.6,19.4,3.34,Yes,Peer Tutoring,No,2,2,No,62.29,Pass,2.93
STU-00082,2023,4,Business,Full-time,International Pathway,Male,Domestic,24,Low (<$40k),Postgraduate,External,Full-time (>20 hrs),50.1,14.0,2.8,Yes,None,No,4,1,Yes,46.76,Fail,1.6
STU-00083,2023,3,Business,Part-time,Transfer / Credit,Female,Domestic,25,Mid ($70–110k),Postgraduate,Merit-Based,Full-time (>20 hrs),37.3,8.0,3.37,Yes,Peer Tutoring,No,2,0,Yes,40.74,Fail,1.29
STU-00084,2022,1,Business,Full-time,High School (ATAR),Male,Domestic,24,Upper-Mid ($110–160k),Bachelor,Equity / Need-Based,Part-time (≤20 hrs),59.6,6.2,2.67,Yes,Academic Advisor,No,4,2,Yes,41.53,Fail,0.66
STU-00085,2023,2,Business,Part-time,Mature Age Entry,Female,Domestic,21,Upper-Mid ($110–160k),No Tertiary,None,Part-time (≤20 hrs),74.9,13.0,1.64,Yes,Academic Advisor,No,2,2,No,42.42,Pass,2.37
STU-00086,2022,3,Business,Full-time,High School (ATAR),Female,Domestic,22,Mid ($70–110k),TAFE / Certificate,Equity / Need-Based,Not Employed,69.2,23.5,3.24,Yes,None,No,4,4,No,62.66,Pass,2.82
STU-00087,2022,2,Health Sciences,Full-time,TAFE / Diploma,Male,Domestic,25,Lower-Mid ($40–70k),Bachelor,Merit-Based,Part-time (≤20 hrs),87.7,20.8,3.69,Yes,Peer Tutoring,No,4,4,No,58.92,Pass,2.34
STU-00088,2022,4,Health Sciences,Full-time,Mature Age Entry,Female,Domestic,23,Low (<$40k),No Tertiary,None,Full-time (>20 hrs),62.2,13.5,3.55,Yes,None,No,4,4,Yes,38.36,Pass,2.52
STU-00089,2024,4,Business,Part-time,International Pathway,Male,Domestic,25,Low (<$40k),Postgraduate,None,Part-time (≤20 hrs),72.4,15.5,3.03,Yes,None,No,2,2,No,57.31,Pass,2.91
STU-00090,2022,1,Information Technology,Full-time,TAFE / Diploma,Male,Domestic,21,Lower-Mid ($40–70k),No Tertiary,None,Not Employed,68.4,14.9,2.55,Yes,Multiple Services,Yes,4,1,No,48.88,Fail,1.6
STU-00091,2023,2,Information Technology,Full-time,Transfer / Credit,Male,International,22,Lower-Mid ($40–70k),TAFE / Certificate,External,Part-time (≤20 hrs),74.9,21.3,3.15,Yes,Peer Tutoring,No,4,4,No,62.91,Pass,2.5
STU-00092,2023,2,Arts & Humanities,Part-time,TAFE / Diploma,Female,Domestic,26,Mid ($70–110k),Postgraduate,None,Not Employed,78.2,9.6,3.21,Yes,Academic Advisor,No,2,2,No,68.72,Pass,2.82
STU-00093,2024,2,Information Technology,Part-time,International Pathway,Female,Domestic,26,Low (<$40k),No Tertiary,External,Part-time (≤20 hrs),66.2,13.4,1.64,Yes,Peer Tutoring,No,2,1,No,39.3,Fail,1.24
STU-00094,2022,3,Engineering,Full-time,Transfer / Credit,Male,Domestic,22,Mid ($70–110k),No Tertiary,None,Part-time (≤20 hrs),59.4,13.0,2.26,Yes,None,No,4,3,Yes,40.79,Fail,0.82
STU-00095,2023,2,Health Sciences,Part-time,Mature Age Entry,Male,International,23,Mid ($70–110k),Bachelor,Equity / Need-Based,Part-time (≤20 hrs),87.3,25.7,2.88,Yes,None,No,2,2,No,65.3,Pass,2.82
STU-00096,2024,2,Information Technology,Full-time,Transfer / Credit,Male,Domestic,24,Low (<$40k),Bachelor,External,Full-time (>20 hrs),64.1,15.8,2.89,Yes,None,No,4,0,Yes,43.16,Fail,1.07
STU-00097,2022,4,Health Sciences,Full-time,High School (ATAR),Female,Domestic,26,Mid ($70–110k),TAFE / Certificate,Merit-Based,Part-time (≤20 hrs),70.4,21.3,2.66,Yes,None,No,4,4,No,58.73,Pass,2.54
STU-00098,2024,1,Arts & Humanities,Part-time,Mature Age Entry,Female,International,25,Lower-Mid ($40–70k),No Tertiary,External,Part-time (≤20 hrs),66.6,6.2,3.1,Yes,None,No,2,0,Yes,34.54,Fail,1.19
STU-00099,2022,3,Information Technology,Full-time,TAFE / Diploma,Male,Domestic,22,Low (<$40k),Bachelor,Equity / Need-Based,Part-time (≤20 hrs),76.2,20.3,3.57,Yes,None,No,4,4,No,59.54,Pass,2.75
STU-00100,2024,3,Education,Full-time,High School (ATAR),Male,International,22,Mid ($70–110k),Bachelor,Merit-Based,Part-time (≤20 hrs),80.3,18.5,3.9,Yes,None,No,4,4,No,73.75,Pass,2.3
STU-00101,2023,3,Health Sciences,Full-time,Transfer / Credit,Male,Domestic,27,Mid ($70–110k),Bachelor,None,Not Employed,98.8,13.6,3.32,Yes,Multiple Services,Yes,4,4,No,75.58,Distinction,3.42
STU-00102,2022,3,Health Sciences,Full-time,Mature Age Entry,Male,Domestic,23,High (>$160k),Bachelor,None,Part-time (≤20 hrs),62.1,22.3,2.71,Yes,Academic Advisor,No,4,4,No,66.53,Pass,2.66
STU-00103,2023,1,Business,Full-time,High School (ATAR),Female,Domestic,23,Mid ($70–110k),Postgraduate,None,Not Employed,73.4,21.2,3.92,Yes,None,No,4,4,No,66.88,Pass,2.14
STU-00104,2023,1,Business,Part-time,Transfer / Credit,Female,Domestic,17,Upper-Mid ($110–160k),Bachelor,None,Part-time (≤20 hrs),72.8,9.7,2.68,Yes,Academic Advisor,No,2,2,No,58.67,Pass,2.21
STU-00105,2024,2,Business,Full-time,International Pathway,Male,Domestic,24,Mid ($70–110k),Bachelor,Merit-Based,Part-time (≤20 hrs),83.7,18.3,3.47,Yes,None,No,4,4,No,67.46,Pass,2.98
STU-00106,2024,2,Health Sciences,Full-time,Mature Age Entry,Male,International,23,Mid ($70–110k),Bachelor,None,Not Employed,65.9,9.1,3.64,Yes,Peer Tutoring,No,4,4,No,61.11,Pass,2.21
STU-00107,2024,3,Arts & Humanities,Part-time,High School (ATAR),Female,Domestic,25,Mid ($70–110k),TAFE / Certificate,Equity / Need-Based,Not Employed,64.5,12.1,2.89,Yes,Multiple Services,Yes,2,2,No,60.32,Pass,2.83
STU-00108,2022,2,Engineering,Full-time,High School (ATAR),Female,Domestic,24,Low (<$40k),Bachelor,None,Part-time (≤20 hrs),77.0,18.5,3.86,Yes,Counselling,Yes,4,4,No,60.8,Pass,2.69
STU-00109,2024,2,Business,Full-time,High School (ATAR),Female,Domestic,25,Low (<$40k),No Tertiary,External,Full-time (>20 hrs),52.5,6.9,3.91,No,Multiple Services,Yes,4,1,Yes,41.76,Fail,1.01
STU-00110,2022,1,Health Sciences,Full-time,Transfer / Credit,Male,International,20,High (>$160k),Postgraduate,Equity / Need-Based,Part-time (≤20 hrs),85.7,18.9,2.57,Yes,Academic Advisor,No,4,4,No,60.75,Pass,2.91
STU-00111,2024,1,Information Technology,Full-time,TAFE / Diploma,Female,Domestic,19,Mid ($70–110k),No Tertiary,Equity / Need-Based,Not Employed,66.0,17.2,2.5,Yes,Academic Advisor,No,4,4,No,66.2,Pass,2.32
STU-00112,2022,3,Health Sciences,Full-time,TAFE / Diploma,Male,Domestic,24,Lower-Mid ($40–70k),Postgraduate,Merit-Based,Part-time (≤20 hrs),83.7,14.8,3.8,Yes,Multiple Services,Yes,4,4,No,72.84,Pass,2.96
STU-00113,2023,4,Information Technology,Full-time,Transfer / Credit,Male,Domestic,27,Low (<$40k),Bachelor,None,Part-time (≤20 hrs),86.4,17.1,3.58,Yes,Academic Advisor,No,4,4,No,66.42,Pass,2.84
STU-00114,2023,1,Arts & Humanities,Full-time,High School (ATAR),Male,Domestic,21,Upper-Mid ($110–160k),Bachelor,None,Part-time (≤20 hrs),69.3,18.1,2.69,Yes,Academic Advisor,No,4,4,No,71.28,Pass,2.35
STU-00115,2023,2,Health Sciences,Full-time,High School (ATAR),Male,International,25,Mid ($70–110k),TAFE / Certificate,External,Not Employed,79.1,17.9,2.98,Yes,Peer Tutoring,No,4,4,No,65.15,Pass,2.68
STU-00116,2023,3,Arts & Humanities,Full-time,High School (ATAR),Female,International,20,Lower-Mid ($40–70k),Bachelor,Merit-Based,Part-time (≤20 hrs),80.1,16.9,4.0,Yes,Peer Tutoring,No,4,4,No,61.39,Pass,2.52
STU-00117,2022,1,Business,Full-time,High School (ATAR),Non-binary / Other,Domestic,25,Low (<$40k),Bachelor,Equity / Need-Based,Part-time (≤20 hrs),59.9,17.1,2.58,Yes,Counselling,Yes,4,4,Yes,53.46,Pass,2.12
STU-00118,2023,2,Education,Full-time,TAFE / Diploma,Female,Domestic,27,Low (<$40k),Bachelor,External,Full-time (>20 hrs),58.8,6.7,2.67,Yes,Academic Advisor,No,4,1,Yes,44.51,Fail,0.67
